Penis 1y,Denmark,Finland,Norway,Sweden
1971-1975,83.0[76.8-89.6],84.1[73.4-96.4],87.9[80.9-95.5],88.1[83.8-92.6]
1976-1980,88.3[83.2-93.7],78.6[66.1-93.4],88.2[81.4-95.5],89.6[85.4-94.0]
1981-1985,85.2[79.6-91.2],84.4[74.6-95.5],90.6[84.9-96.7],88.8[84.9-93.0]
1986-1990,81.8[76.0-88.0]*,87.7[77.6-99.1],93.5[88.0-99.3],89.9[85.9-94.1]
1991-1995,89.1[84.1-94.5],80.3[71.2-90.7],87.8[81.8-94.2],85.4[81.3-89.7]
1996-2000,85.5[80.3-91.0],81.9[73.0-92.0],90.1[84.5-96.1],86.5[82.5-90.8]
2001-2005,85.5[80.5-90.8],82.8[74.2-92.4],89.1[84.2-94.2],86.6[83.1-90.2]*
2006-2010,85.7[81.1-90.5],85.1[78.8-91.9],90.2[85.7-94.9],91.9[89.0-94.9]
2011-2015,90.1[86.4-93.8],87.3[82.4-92.4],92.0[88.2-96.0],88.6[85.5-91.8]
2016-2020,91.5[88.2-95.0],87.3[82.3-92.5],91.4[87.9-94.9],89.4[86.8-92.1]
