Penis 5y,Denmark,Finland,Norway,Sweden
1971-1975,64.0[54.1-75.6],43.2[28.9-64.4],75.7[63.4-90.2],75.9[68.1-84.4]
1976-1980,75.4[66.5-85.6],60.9[45.1-82.1],79.4[67.0-94.1],74.0[66.3-82.7]
1981-1985,73.7[65.0-83.7],62.6[47.6-82.4],74.7[64.2-86.9],71.4[64.3-79.3]
1986-1990,67.1[58.6-76.8],68.2[49.7-93.8],77.3[65.6-91.1],74.4[67.3-82.3]
1991-1995,70.0[61.1-80.1],68.6[55.8-84.4],69.6[59.8-80.9],71.0[64.5-78.0]
1996-2000,73.4[65.0-83.0],62.9[50.8-77.9],72.0[61.4-84.4],71.3[64.8-78.4]
2001-2005,81.5[73.6-90.2],65.3[52.9-80.6],79.2[71.1-88.1],69.2[63.6-75.3]*
2006-2010,75.1[68.1-82.8]*,69.4[59.9-80.3],79.4[72.0-87.6],78.5[73.1-84.2]
2011-2015,83.0[76.6-89.9],68.2[60.7-76.6],73.4[66.3-81.3],75.2[70.4-80.3]
2016-2020,85.7[80.0-91.7],68.6[61.2-76.9],76.5[70.3-83.2],77.1[72.8-81.6]
