Prostate 1y,Denmark,Finland,Norway,Sweden
1971-1975,77.8[75.3-80.4]*,82.3[79.0-85.8],84.6[82.5-86.8]*,83.8[82.8-84.9]*
1976-1980,80.9[79.2-82.6],85.6[83.8-87.5]*,87.3[85.4-89.2],87.9[86.6-89.3]*
1981-1985,82.0[79.7-84.2],87.9[86.0-89.9],87.9[85.6-90.3],91.5[90.5-92.6]*
1986-1990,82.9[80.0-86.0],89.1[87.1-91.1]*,87.9[85.8-90.0]*,93.3[92.5-94.0]*
1991-1995,84.2[82.4-86.0],92.3[91.0-93.7]*,91.4[89.7-93.1]*,94.3[93.5-95.0]*
1996-2000,86.0[83.9-88.1]*,95.5[94.6-96.4]*,94.9[94.2-95.6]*,96.3[95.9-96.7]*
2001-2005,92.6[91.5-93.8]*,97.8[97.4-98.2]*,96.5[96.1-96.9]*,97.9[97.6-98.2]*
2006-2010,97.3[96.9-97.7]*,98.6[98.3-98.9],97.9[97.5-98.3]*,98.4[98.2-98.7]*
2011-2015,98.2[97.9-98.5]*,98.6[98.3-98.9],99.4[99.1-99.6],98.9[98.7-99.1]*
2016-2020,98.6[98.3-98.9],98.8[98.4-99.1],99.3[99.1-99.6],99.2[99.1-99.4]
