Testis 1y,Denmark,Finland,Norway,Sweden
1971-1975,82.6[78.5-86.8]*,75.0[67.5-83.4],82.0[76.3-88.0]*,83.9[80.2-87.8]
1976-1980,87.8[83.9-91.8],79.8[73.0-87.3],89.9[84.3-96.0],84.8[81.3-88.3]*
1981-1985,91.2[87.7-94.9],85.1[79.3-91.3],90.9[85.8-96.3],94.9[92.4-97.6]
1986-1990,92.0[88.7-95.4],89.3[83.0-96.2],92.7[88.6-96.9],94.7[91.9-97.7]
1991-1995,93.1[90.1-96.3],89.9[83.4-97.0],91.3[86.6-96.3]*,94.1[91.1-97.2]
1996-2000,94.9[91.4-98.4],91.4[85.5-97.7]*,97.5[94.7-100.5],95.8[92.9-98.8]
2001-2005,94.1[90.6-97.8],97.8[94.3-101.5],93.9[90.2-97.8],95.2[91.9-98.6]
2006-2010,97.2[94.7-99.6],94.9[90.6-99.5],94.7[90.9-98.8],97.5[95.4-99.6]
2011-2015,97.9[96.0-99.8],91.3[86.6-96.3],95.9[93.0-98.9],97.2[95.2-99.2]
2016-2020,97.7[96.0-99.6],96.4[93.4-99.6],97.7[95.4-100.0],97.5[95.6-99.5]
