Testis 5y,Denmark,Finland,Norway,Sweden
1971-1975,66.4[60.6-72.8]*,56.5[47.7-66.8],60.6[53.4-68.7]*,71.7[66.1-77.8]
1976-1980,80.6[75.8-85.8],63.9[54.7-74.5]*,79.2[70.5-88.9],76.3[71.8-81.0]*
1981-1985,85.5[80.6-90.8],76.4[68.7-85.0],82.3[74.4-91.1],91.1[86.2-96.3]
1986-1990,85.9[80.6-91.5]*,82.2[73.3-92.3],89.3[83.7-95.4],95.1[90.9-99.6]
1991-1995,92.1[87.7-96.6],85.9[77.3-95.5],88.2[82.2-94.7],90.9[86.3-95.6]
1996-2000,92.5[87.4-97.9],88.3[80.7-96.6],96.3[91.5-101.4],91.1[85.6-96.9]
2001-2005,95.1[91.2-99.2],94.4[87.2-102.3],91.9[86.9-97.1],94.7[89.8-99.9]
2006-2010,97.3[93.9-100.9],93.7[87.8-100.0],92.2[87.1-97.6],96.6[93.2-100.1]
2011-2015,97.8[94.8-101.0],88.7[82.5-95.4],96.1[92.3-100.0],98.9[96.1-101.7]
2016-2020,95.3[92.1-98.6],93.5[88.5-98.7],96.7[93.0-100.6],98.8[96.0-101.6]
